Ref,Val,Package,PosX,PosY,Rot,Side
"C3","22uF","C_1210_3225Metric",138.310000,-90.990000,90.000000,bottom
"C4","10uF","C_1206_3216Metric",140.140000,-97.050000,180.000000,bottom
"C5","10uF","C_1206_3216Metric",140.140000,-94.630000,180.000000,bottom
"C6","10uF","C_1206_3216Metric",141.170000,-90.980000,90.000000,bottom
"C7","22uF","C_1210_3225Metric",130.790000,-86.730000,180.000000,bottom
"C8","22uF","C_1210_3225Metric",135.160000,-98.410000,0.000000,bottom
"C9","22uF","C_1210_3225Metric",135.160000,-95.110000,0.000000,bottom
"C10","10uF","C_0805_2012Metric",130.170000,-93.570000,180.000000,bottom
"C11","10uF","C_0805_2012Metric",130.170000,-91.530000,180.000000,bottom
"C12","1uF","C_0805_2012Metric",130.160000,-89.480000,180.000000,bottom
"C14","100nF","C_0603_1608Metric",135.780000,-78.140000,90.000000,bottom
"C15","1nF","C_0603_1608Metric",134.230000,-78.130000,90.000000,bottom
"C16","33pF","C_0603_1608Metric",132.690000,-78.140000,90.000000,bottom
"C17","100nF","C_0603_1608Metric",138.190000,-81.800000,180.000000,bottom
"C18","1nF","C_0603_1608Metric",138.190000,-83.360000,180.000000,bottom
"R2","10K, 1%","R_0603_1608Metric",134.950000,-88.520000,180.000000,bottom
"R3","562K,0.1%","R_0603_1608Metric",134.940000,-85.370000,180.000000,bottom
"R4","180K,0.1%","R_0603_1608Metric",134.940000,-86.950000,180.000000,bottom
"R5","4.7K, 1%","R_0603_1608Metric",138.170000,-84.900000,0.000000,bottom
"R10","100E, 1%","R_0603_1608Metric",142.620000,-81.645000,-90.000000,bottom
"R11","100E, 1%","R_0603_1608Metric",144.170000,-81.645000,-90.000000,bottom
"R12","100E, 1%","R_0603_1608Metric",145.710000,-81.645000,-90.000000,bottom
"C1","10uF","C_1206_3216Metric",135.180000,-78.460000,90.000000,top
"C2","100nF","C_0603_1608Metric",129.190000,-91.270000,0.000000,top
"C13","4.7uF","C_0805_2012Metric",137.470000,-77.860000,90.000000,top
"C19","100nF","C_0603_1608Metric",171.400000,-96.600000,-90.000000,top
"C20","100nF","C_0603_1608Metric",164.050000,-96.590000,-90.000000,top
"C21","100nF","C_0603_1608Metric",173.585000,-85.204632,90.000000,top
"C22","100nF","C_0603_1608Metric",170.075000,-81.526666,180.000000,top
"C23","10nF","C_0603_1608Metric",170.075000,-79.980000,180.000000,top
"C24","1nF","C_0603_1608Metric",170.075000,-78.433332,180.000000,top
"C25","15pF","C_0603_1608Metric",170.075000,-83.073332,180.000000,top
"C26","15pF","C_0603_1608Metric",162.675000,-83.573332,90.000000,top
"C27","1nF","C_0603_1608Metric",164.225000,-83.573332,90.000000,top
"C28","10nF","C_0603_1608Metric",165.775000,-83.573332,90.000000,top
"C29","100nF","C_0603_1608Metric",167.325000,-83.573332,-90.000000,top
"D1","LED","LED_0805_2012Metric",137.110000,-73.917500,-90.000000,top
"D2","LED","LED_0805_2012Metric",134.790000,-73.925000,-90.000000,top
"D3","LED","LED_0805_2012Metric",132.560000,-73.925000,-90.000000,top
"IC1","ESP32-S3-WROOM-1-N16R2","ESP32S3WROOM1N4",149.250000,-84.530000,0.000000,top
"J1","10118192-0002LF","AMPHENOL_10118192-0002LF",131.390000,-85.290000,-90.000000,top
"J2","Debug","PinHeader_1x06_P2.54mm_Vertical",161.830000,-71.660000,90.000000,top
"L1","SRN60451R0Y","SRN60451R0Y",134.615000,-97.090000,0.000000,top
"R1","1M, 1%","R_0603_1608Metric",129.190000,-92.800000,180.000000,top
"R6","10E, 0.1%","R_0603_1608Metric",163.420000,-81.216666,0.000000,top
"R7","10E, 0.1%","R_0603_1608Metric",163.400000,-79.636666,0.000000,top
"R8","10E, 0.1%","R_0603_1608Metric",135.825000,-87.920000,0.000000,top
"R9","10E, 0.1%","R_0603_1608Metric",135.840000,-82.840000,0.000000,top
"R13","10E, 0.1%","R_0603_1608Metric",171.201666,-89.578332,90.000000,top
"R14","10E, 0.1%","R_0603_1608Metric",169.658333,-89.558332,-90.000000,top
"R15","10E, 0.1%","R_0603_1608Metric",168.115000,-89.558332,-90.000000,top
"R16","10E, 0.1%","R_0603_1608Metric",166.571666,-89.558332,-90.000000,top
"SW1","SW_SPST","SW_SPST_B3U-1000P",173.880000,-97.510000,90.000000,top
"SW2","SW_SPST","SW_SPST_B3U-1000P",166.520000,-97.510000,90.000000,top
"U1","USBLC6-2SC6","SOT-23-6",135.235000,-85.377500,0.000000,top
"U2","TPS630250RNCT","VREG_TPS630250RNCT",134.570000,-91.630000,90.000000,top
"U3","LGA-14L_2P5X3X0P83_STM","IIS3DWBTR",170.115000,-85.729632,180.000000,top
